"File","Field","Index","Speakers","Japanese","Speakers (E)","English","LineBreak"
"1336.dat","line","60","0 [ルカ]","だからと言って
不用意に
同情するのは　良くないよ","0 [Ruca]","Just because we know his situation doesn’t mean that 
we can just sympathize with him.","TRUE"
"1336.dat","line","63","0 [ルカ]","マティウスの　部下になった責任は
あの子にだってあるだろうし","0 [Ruca]","After all, he’s responsible for becoming Mattheus’ 
underling.","TRUE"
"1336.dat","line","67","1 [スパーダ]","だよなぁ
違いねェ
ちょっとは　叱ってやらねーとな","1 [Spada]","Right, we have to scold him properly.","TRUE"
"1336.dat","line","72","2 [エルマーナ]","え～？
かわいそうやん","2 [Hermana]","What, no!","TRUE"
"1336.dat","line","75","1 [スパーダ]","でもよ　このまま
放っといても　仕方ねーぜ？","1 [Spada]","You know we can’t just let him do what he wants.","TRUE"
"1336.dat","line","78","1 [スパーダ]","なにが正しいか　自分で
判断できねェのなら　首根っこ
押さえつけてでも　教えてやんねェとよ","1 [Spada]","We gotta teach him what’s right even if we have to hold 
him by the scruff of his neck.","TRUE"
"1336.dat","line","81","2 [エルマーナ]","…まあ　そうやなぁ
それも　しゃあないんかなぁ","2 [Hermana]","Well, Ah guess yer right...","TRUE"
"1336.dat","line","89","0 [ルカ]","次に会ったら…","0 [Ruca]","The next time we meet him...","TRUE"
"1336.dat","line","93","2 [エルマーナ]","ウチが　話してみるで
ことわざにもあるやろ？","2 [Hermana]","Ah’ll try an’ talk to ’em by sayin’ a proverb.","TRUE"
"1336.dat","line","96","2 [エルマーナ]","「ナントカ　ナントカするも
　ナントカのナントカ」って","2 [Hermana]","Sumthin’ like: “Even a blah blah is caused by blah in 
yer blah blah.”","TRUE"
"1336.dat","line","101","1 [スパーダ]","ナントカばっかで
ひとっつも　わかんねェよ！","1 [Spada]","No way he’s gonna understand you if you keep saying 
“blah, blah, blah, blah, blah.”","TRUE"
"1336.dat","line","106","0 [ルカ]","「袖擦り合うも
　多生の縁」のことじゃないかな","0 [Ruca]","Isn’t it “Even a chance acquaintance is caused by a 
connection in your past life?”","TRUE"
"1336.dat","line","111","2 [エルマーナ]","ああ　それそれ！
さすが　ルカ兄ちゃん！","2 [Hermana]","Yeah! That! Thank ya, Ruca Bro!","TRUE"
"1336.dat","line","117","1 [スパーダ]","ルカ…
なんで　あれでわかるんだよ
おまえ　すげェな…","1 [Spada]","How the heck did you even know what proverb that is? 
Scary...","TRUE"
"1337.dat","title","322","","ウチ、エラいん？","","Was I Good?","FALSE"
"1337.dat","speaker","0","","エルマーナ","","Hermana","FALSE"
"1337.dat","speaker","1","","アンジュ","","Ange","FALSE"
"1337.dat","line","0","0 [エルマーナ]","そうか～　ウチ
一応　神さまやってんなぁ～～","0 [Hermana]","Ah see... so Ah was once a god, huh?","TRUE"
"1337.dat","line","3","1 [アンジュ]","そうよ　エル　ヴリトラを信じ
ヴリトラを　愛した人たちが
こうして　あなたを祀ったのよ","1 [Ange]","Yes, Hermie. Everyone believed and loved Vritra, and 
thus, worshipped you.","TRUE"
"1337.dat","line","7","0 [エルマーナ]","ヴリトラは…　その人らに
なんぞしてあげとったんやろか？","0 [Hermana]","An’ what did Vritra... do fer ’em?","TRUE"
"1337.dat","line","11","1 [アンジュ]","さあ？","1 [Ange]","Who knows?","TRUE"
"1337.dat","line","15","0 [エルマーナ]","さあ？　って…","0 [Hermana]","“Who knows”...?","TRUE"
"1337.dat","line","19","0 [エルマーナ]","迷える子羊が　素朴な疑問
カマしてんねんで？
なんぞ　答えたってぇな","0 [Hermana]","Ah’m jus’ askin’ a simple question here, hear? What 
kinda answer is that?","TRUE"
"1337.dat","line","23","1 [アンジュ]","人というのはね
心の平安が欲しいから　祈るの","1 [Ange]","You see, people will only pray if they want peace 
of mind.","TRUE"
"1337.dat","line","26","1 [アンジュ]","人が勝手に　天に向かって
祈るだけだから　なにもしてあげなくても
別に構わないのよ","1 [Ange]","They will turn towards Cielo on their own accord, 
whatever they pray for does not matter at all.","TRUE"
"1337.dat","line","31","0 [エルマーナ]","そんなもんなん？","0 [Hermana]","Was that the case?","TRUE"
"1337.dat","line","36","1 [アンジュ]","だって　私は祈りたくて祈ってたもの
天の恵みが欲しくて
祈ったことなんてないなぁ","1 [Ange]","I have only prayed because I wanted to pray, 
not because I needed Cielo’s blessings.","TRUE"
"1337.dat","line","39","0 [エルマーナ]","そんなんで　幸せなん？","0 [Hermana]","And yer happy with that?","TRUE"
"1337.dat","line","44","1 [アンジュ]","もちろん
幸せよ","1 [Ange]","Of course I am.","TRUE"
"1337.dat","line","50","0 [エルマーナ]","ふ～ん　ウチには　わからんなぁ
ただ　祈るだけなんて
別に腹も　ふくれんやろうに…","0 [Hermana]","Ah don’ get it, it’s not like Ah’ll be full if Ah pray.","TRUE"
"1338.dat","title","323","","悲しき転生者","","Wretched Reincarnator","FALSE"
"1338.dat","speaker","0","","ルカ","","Ruca","FALSE"
"1338.dat","speaker","1","","イリア","","Illia","FALSE"
"1338.dat","line","1","0 [ルカ]","…………はぁ","0 [Ruca]","*Sigh*","TRUE"
"1338.dat","line","5","1 [イリア]","どしたの？　ルカ
落ち込んだ顔してさぁ
どういう構われ方　されたいわけ？","1 [Illia]","Okay, what’s with the long face? You want me to 
cuddle you or something?","TRUE"
"1338.dat","line","8","0 [ルカ]","…いや　あのさ
やっぱり転生者って　不幸だよね
シアンを見て　改めて感じたんだ","0 [Ruca]","No, it’s just that... After meeting Sian, I’ve started to 
see Reincarnators in a more unfortunate light.","TRUE"
"1338.dat","line","12","1 [イリア]","あの子の不幸は　別格だから
参考にならないと思うけど？","1 [Illia]","Sian’s different compared to normal Reincarnators, so I 
don’t think he’s a good reference point to look at.","TRUE"
"1338.dat","choice","15","0","同意する","","Agree","FALSE"
"1338.dat","choice","15","1","同意しない","","Disagree","FALSE"
"1338.dat","line","17","0 [ルカ]","そう…　だね
あの子の場合　生まれ育ちが
不幸だった","0 [Ruca]","I suppose... in his case, he’s been wrought with
misfortune ever since the day he was born.","TRUE"
"1338.dat","line","21","1 [イリア]","そーよ　そーよ
だったら　幸せを取り返すぐらいに
頑張らなきゃ","1 [Illia]","Right. That’s why he has to work hard to take back 
his own happiness.","TRUE"
"1338.dat","line","29","0 [ルカ]","そう…　かな？
ヘタをすれば
僕も　ああだったのかもしれないよ","0 [Ruca]","Is that so...? He might just be awkward like me.","TRUE"
"1338.dat","line","33","1 [イリア]","なんにしても
今が不幸なら　なんとかして
幸せになろうと頑張らなきゃ！","1 [Illia]","Regardless, he has to work against his misfortune and 
take back his own happiness.","TRUE"
"1338.dat","line","37","1 [イリア]","人生は　楽しまないと損でしょ？","1 [Illia]","I mean, you gotta enjoy life while it lasts.","TRUE"
"1338.dat","line","43","0 [ルカ]","確かに　シアンはもっと
楽しい生き方をした方がいいと思う","0 [Ruca]","Certainly, I think it’d be better if Sian sought a
happier life.","TRUE"
"1338.dat","line","47","1 [イリア]","ありゃあ　あんたに言われるなんて
よっぽどね
あんたも　不幸に酔うタイプなのに","1 [Illia]","That’s so... I can’t believe you’d say that since you’re 
also a miserable type.","TRUE"
"1338.dat","line","51","0 [ルカ]","今　思うと…
僕は　不幸なんかじゃ
なかったんだね","0 [Ruca]","Thinking about it... maybe I was never really miserable.","TRUE"
"1338.dat","line","55","1 [イリア]","「不幸なんかじゃない」じゃなくて
あんたなんか
「全然幸せな方だった」が　正解かな","1 [Illia]","Maybe it’s not that you were “miserable,” but rather, you 
were always happy to begin with.","TRUE"
"1338.dat","line","58","1 [イリア]","家は　お金持ちで
今は　仲間にも出会えて
あの子に比べれば　全然幸せな方よ","1 [Illia]","You’re rich and you’ve met a lot of people 
in this journey. Compared to that kid, you 
should be happier than he is.","TRUE"
"1338.dat","line","62","0 [ルカ]","うん
イリアの言う通りだ
自分の生い立ちに　感謝しなきゃ","0 [Ruca]","Right, I’ll have to be more grateful for how I am now.","TRUE"
"1339.dat","title","324","","アレがマティウスか…","","So that was Mattheus...","FALSE"
"1339.dat","speaker","0","","イリア","","Illia","FALSE"
"1339.dat","speaker","1","","スパーダ","","Spada","FALSE"
"1339.dat","speaker","2","","アンジュ","","Ange","FALSE"
"1339.dat","line","0","2 [アンジュ]","あの人が　マティウス…","2 [Ange]","That was Mattheus...","TRUE"
"1339.dat","line","4","1 [スパーダ]","顔を隠してるなんて
いけすかねェな","1 [Spada]","Pretty lame of her to hide behind a mask.","TRUE"
"1339.dat","line","8","0 [イリア]","そーよ！
胡散臭そうなヤツだけど
実際ホントに　胡散臭いのよ！","0 [Illia]","Damn right! 
She really is as shady as she looks!","TRUE"
"1339.dat","line","12","2 [アンジュ]","あの人の考え　詳しく聞きたかったな
こういう言い方は　良くないけど…
絶対　言い負かしてやったのに","2 [Ange]","I wish I could have gotten a better glimpse of the ideals
that drive her. Although I know such an action is rude, I
feel a strong need to refute them to her very face.","FALSE"
"1339.dat","line","15","1 [スパーダ]","アンジュ　怒ってンなァ","1 [Spada]","Damn, Ange’s mad...","TRUE"
"1339.dat","line","19","0 [イリア]","「すーみついん」だっけ？
そいつらが　バックにいるのが
気に食わないんじゃないの？","0 [Illia]","Are you mad coz the “Private Count Sill” or 
whatever’s backing her up?","TRUE"
"1339.dat","line","23","2 [アンジュ]","信仰は　自然発生的な存在のはずよ
権力に取り入って　布教を行うなんて
摂理に　反すると思うの","2 [Ange]","Faith is supposed to be a natural occurence.
Cozying up to political power in order to propagate 
faith is contradictory to divine providence.","TRUE"
"1339.dat","line","28","0 [イリア]","で…　でもアンジュのいた
ナーオスの教会だって
昔は　すっごい権力持ってたんでしょ？","0 [Illia]","But didn’t you mention that the Church in Naohs used 
to possess a lot of political power?","TRUE"
"1339.dat","line","32","2 [アンジュ]","それは社会が未成熟で　政教分離が
進んでいなかった　昔の話よ
今は　そうじゃないもの","2 [Ange]","That was before the Church and the State separated 
into two entities, something that had happened a long 
time ago.","TRUE"
"1339.dat","line","36","2 [アンジュ]","にもかかわらず
聖職者が　軍隊とつながって
武力で　こんなことするなんて…","2 [Ange]","To think of merging the Church into the armed forces 
despite that...","TRUE"
"1339.dat","line","41","2 [アンジュ]","あの人は
教義を忘れてしまったとしか　思えない
そうは思わない！？","2 [Ange]","I do not believe that someone like her 
would simply “forget” the doctrine... 
Do you not think so!?","TRUE"
"1339.dat","line","46","0 [イリア]","アンジュ　マジっぽいね…","0 [Illia]","She’s serious...","TRUE"
"1339.dat","line","50","1 [スパーダ]","ああ…
いつもの　おちゃらけ感が
まったくないな…","1 [Spada]","The lighthearted vibe she always has is... nada.","TRUE"
"1339.dat","line","54","2 [アンジュ]","ちょっと！
ちゃんと聞いてるの！？","2 [Ange]","ARE YOU BOTH LISTENING TO ME!?","TRUE"
"1339.dat","line","59","0 [イリア]","はい！","0 [Illia]","Yes, ma’am!","TRUE"
"1339.dat","line","64","1 [スパーダ]","聞いてます！","1 [Spada]","We’re listening, ma’am!","TRUE"
"1339.dat","line","68","2 [アンジュ]","あら
じゃあ　続きを話していい？","2 [Ange]","Then may I continue the discussion?","TRUE"
"1339.dat","line","78","1 [スパーダ]","…………
さいなら～！","1 [Spada]","BYE!","TRUE"
"1339.dat","line","86","2 [アンジュ]","もう！
マジメな話になったら
途端に　こうなんだから！","2 [Ange]","Sheesh! Right after the conversation started to 
get serious!","TRUE"
"1339.dat","line","90","2 [アンジュ]","ちょっと
ふたりとも待ちなさ～い！","2 [Ange]","You two, stop!","TRUE"
"1340.dat","title","325","","リカルド…あの野郎！","","Ricardo You Bastard!","FALSE"
"1340.dat","speaker","0","","ルカ","","Ruca","FALSE"
"1340.dat","speaker","1","","スパーダ","","Spada","FALSE"
"1340.dat","speaker","2","","イリア","","Illia","FALSE"
"1340.dat","line","1","1 [スパーダ]","リカルドの野郎！","1 [Spada]","Ricardo, you bastard!","TRUE"
"1340.dat","line","6","2 [イリア]","まったく！
リカルドのクソ野郎め！","2 [Illia]","Damn right! Ricardo, you bastard!","TRUE"
"1340.dat","choice","9","0","同意する","","Agree that he betrayed everyone","FALSE"
"1340.dat","choice","9","1","同意しない","","Disagree that he betrayed everyone","FALSE"
"1340.dat","line","12","0 [ルカ]","確かに　なにか事情があるにしても
僕らに　なんの説明もないのは
いけないよね","0 [Ruca]","I know that Ricardo has his reasons, but he 
should’ve at least explained himself 
before doing what he did.","TRUE"
"1340.dat","line","17","1 [スパーダ]","事情？　そんなもんがあったとして
あの裏切りが許せるか？
許せるわきゃねェだろ！","1 [Spada]","“Reasons?” Look, even if he has his own reasons,
d’ya really think I can forgive him that easily?","TRUE"
"1340.dat","line","22","2 [イリア]","そうそう！　しかも実は
なんの事情もなかったりしたら
どーしてくれんのよ！","2 [Illia]","Yeah! What if he doesn’t have any reason 
for what he did? What’re you gonna do?","TRUE"
"1340.dat","line","28","0 [ルカ]","…いや　それは
どうもしないけどさ","0 [Ruca]","If he doesn’t... No...
I don’t really want to think about it...","TRUE"
"1340.dat","line","32","2 [イリア]","だったら　黙ってなさいよ！","2 [Illia]","Then SHUT UP!","TRUE"
"1340.dat","line","36","1 [スパーダ]","ああ　まったくだ！
黙ってろ！","1 [Spada]","Damn right! Shut up!","TRUE"
"1340.dat","line","41","0 [ルカ]","どうして
僕が責められなきゃ
いけないんだよ…","0 [Ruca]","Why are you blaming me for this?","TRUE"
"1340.dat","line","48","0 [ルカ]","ホントに　リカルドは裏切ったのかな？
なにか事情があったのかもしれないよ？","0 [Ruca]","Did Ricardo really betray us?
Maybe he has his own reason for doing so?","TRUE"
"1340.dat","line","53","1 [スパーダ]","ああ？
事情があったら　裏切っても
いいってのか？","1 [Spada]","HUH? So you’re saying he betrayed 
us coz of something?","TRUE"
"1340.dat","line","57","0 [ルカ]","…でも　ガードルって言ったっけ？
前世で兄弟だったんだよね","0 [Ruca]","But he did mention that “Gardle” person was his 
older brother...","TRUE"
"1340.dat","line","60","0 [ルカ]","きっと僕たちには　わからない
複雑な事情があるんじゃないかな","0 [Ruca]","I’m sure he has a complicated reason that 
we don’t know about.","TRUE"
"1340.dat","line","64","2 [イリア]","だからって　仲間を
裏切っていいわけないでしょ！","2 [Illia]","But that still doesn’t mean that he can just 
immediately betray us!","TRUE"
"1340.dat","line","74","0 [ルカ]","きっとまた　リカルドに会える
そのときに　話を聞いてみようよ","0 [Ruca]","I’m sure we’ll meet him again, so let’s ask him
when the time comes.","TRUE"
"1340.dat","line","77","1 [スパーダ]","でもよ
一発だけ　殴らせろよな？","1 [Spada]","If we do, can I hit him? At least once?","TRUE"
"1340.dat","line","80","2 [イリア]","あたしは　お尻
蹴っ飛ばしてやるんだから！","2 [Illia]","I wanna kick his ass. HARD.","TRUE"
"1340.dat","line","83","0 [ルカ]","まあ　それぐらいなら
バチは　当たらないかな…","0 [Ruca]","I don’t know if you’ll be able to
if you both just want to beat him up...","TRUE"
"1341.dat","title","326","","リカルド…どうしたんだろう…","","Why did Ricardo...? ","FALSE"
"1341.dat","speaker","0","","ルカ","","Ruca","FALSE"
"1341.dat","speaker","1","","アンジュ","","Ange","FALSE"
"1341.dat","speaker","2","","エルマーナ","","Hermana","FALSE"
"1341.dat","line","0","1 [アンジュ]","リカルドさん…","1 [Ange]","Sir Ricardo...","TRUE"
"1341.dat","line","4","2 [エルマーナ]","ホンマ
どないしたんやろか…","2 [Hermana]","Tell me ’bout it. Why did he even...?","TRUE"
"1341.dat","choice","7","0","許す","","Forgive","FALSE"
"1341.dat","choice","7","1","許せない","","Do not forgive","FALSE"
"1341.dat","line","9","0 [ルカ]","僕は　彼を責めないよ
きっと　事情があったんだろうしね","0 [Ruca]","I won’t blame him. I’m sure he has his reasons.","TRUE"
"1341.dat","line","13","1 [アンジュ]","…………
ルカくんの心の広さには
感心するわね","1 [Ange]","I admire that mercy of yours, Ruca.","TRUE"
"1341.dat","line","17","2 [エルマーナ]","ホンマやで
そこそこ大きい　ウチの胸にも
収められへんわぁ","2 [Hermana]","Yeah! It’s so big that it can’t even fit mah chest!","TRUE"
"1341.dat","line","24","0 [ルカ]","事情はあるのかもしれないけれど
僕らに　ひと言あってもいいじゃないか
僕　許せないよ","0 [Ruca]","He could’ve said something if he had a reason. 
I’ll never forgive him...","TRUE"
"1341.dat","line","31","2 [エルマーナ]","ホンマや　相談ぐらい
乗ったるっちゅうねん","2 [Hermana]","True, he coulda at least asked us fer advice...","TRUE"
"1341.dat","line","34","1 [アンジュ]","そう…　ね
ただ　話を聞いても　あの人の気持ちは
理解できないかもしれないけれど…","1 [Ange]","You are correct, but... I do not believe we 
would be able to fully understand his 
feelings even after hearing him out.","TRUE"
"1341.dat","line","42","0 [ルカ]","ふたりとも　怒ってるの？","0 [Ruca]","Are you both angry at him?","TRUE"
"1341.dat","line","46","1 [アンジュ]","「怒り」とは　少し違うかな
リカルドさんを　理解できない自分を
恥じているのかも","1 [Ange]","It is a bit different from “anger”... It might be that I feel 
ashamed for not being able to understand him.","TRUE"
"1341.dat","line","50","1 [アンジュ]","ごめんなさい
私も　自分でどう感じているのか
上手く説明できない…","1 [Ange]","I am sorry, I cannot really express what I am currently 
feeling.","TRUE"
"1341.dat","line","54","2 [エルマーナ]","ウチは怒ってへんで
ただ　ちょっと気ィ悪いだけやねん","2 [Hermana]","Ah’m not mad either. Ah jus’ feel a bit bad.","TRUE"
"1341.dat","line","57","0 [ルカ]","そう
僕は　とにかく
リカルドと　会って話したい","0 [Ruca]","Oh. At the very least, I want to hear him out.","TRUE"
"1341.dat","line","61","1 [アンジュ]","あの方は　契約を守る人
だから必ず　私との契約も果たしてくれる
私は　そう信じたい…","1 [Ange]","He is the type to honor his promises, so... I want to 
believe that he shall follow our contract to the end.","TRUE"
"1341.dat","line","64","2 [エルマーナ]","でも　アンジュ姉ちゃん
…それは　甘い考えかもしれんで","2 [Hermana]","But Sis Ange, ain’t that a bit too naive?","TRUE"
"1341.dat","line","67","1 [アンジュ]","そうかな…
うん　そうかも…","1 [Ange]","Is it...? I suppose you may be right...","TRUE"
"1342.dat","title","327","","幽閉なんて勘弁！","","Gimme a Break from Imprisonment! ","FALSE"
"1342.dat","speaker","0","","ルカ","","Ruca","FALSE"
"1342.dat","speaker","1","","イリア","","Illia","FALSE"
"1342.dat","speaker","2","","キュキュ","","QQ","FALSE"
"1342.dat","line","2","1 [イリア]","なによ　このシケた場所は！
あ～　もう信じられない！","1 [Illia]","What the hell is this muggy place!?
UGHHHH, I can’t FREAKING believe this!","TRUE"
"1342.dat","line","10","0 [ルカ]","大きな声だね…","0 [Ruca]","Loud...","TRUE"
"1342.dat","line","14","1 [イリア]","声もデッカくなるっての！
幽閉よ　幽閉！
こ・ん・な・と・こ・ろ・で！","1 [Illia]","You bet it can get louder!
WE’RE STUCK HERE! 
S-T-U-C-K! STUCK!","TRUE"
"1342.dat","line","37","2 [キュキュ]","こ・ん・な・と・こ・ろ・で！","2 [QQ]","S-T-U-C-K! STUCK!","TRUE"
"1342.dat","line","57","1 [イリア]","発音練習じゃないっての！
なんでマネすんのよ！","1 [Illia]","Why are you copying me!?
It’s not like I’m practicing how 
to pronounce it!","TRUE"
"1342.dat","line","61","2 [キュキュ]","お…　イリア
練習　ダメか？","2 [QQ]","Practice with Illia bad?","TRUE"
"1342.dat","line","68","0 [ルカ]","イリア
キュキュさんに
当たらなくてもいいじゃないか","0 [Ruca]","Illia, you shouldn’t take your anger out on QQ.","TRUE"
"1342.dat","line","72","1 [イリア]","当たりたくもなるわよ
ずっとここに　閉じ込められてたんじゃ
楽しいこと　なんにもなさそうじゃない","1 [Illia]","Well she better get used to it. It ain’t like there’s gonna 
be anything fun here in the first place.","TRUE"
"1342.dat","line","76","1 [イリア]","サーカスも　来ないし
乗馬も　できないし…
パパにもママにも　会えないのよ！","1 [Illia]","No circus, no horse riding... and I won’t be able to meet 
Papa and Mama anymore!","TRUE"
"1342.dat","line","79","2 [キュキュ]","サーカス？　ジョウバ？
それ　なにか？
キュキュ　知りたい","2 [QQ]","Circus? Horse Riding? 
What are those? QQ want to know!","TRUE"
"1342.dat","line","87","1 [イリア]","はぁ…　どうせヒマだから
いろいろ　教えてあげる
あっち　行きましょ","1 [Illia]","Well, I’m bored anyway, so lemme teach you. 
Let’s go over there.","TRUE"
"1342.dat","line","99","0 [ルカ]","…ホント　学校もテストもないなんて
張り合いがないよね　…って　あれ？
ねえイリア　僕の話も聞いてよ！","0 [Ruca]","Tell me about it, no one to compete against in tests or 
in school-- Huh? Illia, are you listening to me?","TRUE"
"1342.dat","line","106","1 [イリア]","テストなんて
楽しくもなんともないでしょー
あんたバカじゃないのー？","1 [Illia]","What’s so fun about tests? 
Are you an idiot!?","TRUE"
"1342.dat","line","110","0 [ルカ]","え～…
そ…　そうかな
楽しいじゃないか　テスト…","0 [Ruca]","Huh? But tests are fun... right?","TRUE"
"1343.dat","title","328","","リカルドを慰めてみる","","Comforting Ricardo","FALSE"
"1343.dat","speaker","0","","ルカ","","Ruca","FALSE"
"1343.dat","speaker","1","","リカルド","","Ricardo","FALSE"
"1343.dat","line","0","0 [ルカ]","あ…　あのリカルド
大丈夫？","0 [Ruca]","Are you alright, Ricardo...?","TRUE"
"1343.dat","line","5","1 [リカルド]","フン…　心配するな
ガードルの死は
俺に　なんの影響も与えてはいない","1 [Ricardo]","Don’t worry about me. Gardle’s death did not affect me 
in the slightest. ","TRUE"
"1343.dat","choice","8","0","いぶかしむ","","Doubt","FALSE"
"1343.dat","choice","8","1","そういうことにしておく","","If you say so...","FALSE"
"1343.dat","line","11","0 [ルカ]","そうかな
僕には　リカルドが
すごく悲しそうに　見えるよ","0 [Ruca]","Is that so? I think you look quite sad, though...","TRUE"
"1343.dat","line","14","1 [リカルド]","だとしたら
それは　ヒュプノスの記憶に
よるものだろう","1 [Ricardo]","If so, it might have something 
to do with Hypnos’ memories.","TRUE"
"1343.dat","line","17","1 [リカルド]","彼は　兄想いだったようだからな","1 [Ricardo]","He cared a lot for his brother, after all.","TRUE"
"1343.dat","line","23","0 [ルカ]","…そうだね　たとえ悲しくても
それは　リカルドのものじゃないよね
きっと　ヒュプノスの…","0 [Ruca]","You’re right... whatever sadness you have 
probably isn’t yours, but Hypnos’...","TRUE"
"1343.dat","line","26","1 [リカルド]","ああ　その通りだ","1 [Ricardo]","Indeed.","TRUE"
"1343.dat","line","33","0 [ルカ]","せめて　遺体だけでも
引き上げられれば
良かったのにね","0 [Ruca]","If only we could at least retrieve 
his body from the ocean...","TRUE"
"1343.dat","line","36","1 [リカルド]","いや　あのままでいい
あのまま朽ちて　地上とひとつになる…
きっとそれが　彼の望みだろう","1 [Ricardo]","No, leave him be. As he decays, 
he will slowly become one with Terro. 
I suppose that’s also what he wishes.","TRUE"
"1343.dat","line","39","0 [ルカ]","お墓は要らないの？","0 [Ruca]","Not even a grave?","TRUE"
"1343.dat","line","42","1 [リカルド]","ああ　必要ない
この世界が　彼の墓となる
それでいい","1 [Ricardo]","Not even a grave. Let the world we step on 
become his tomb, he’s fine as he is.","TRUE"
"1344.dat","title","330","","マムート訛り","","The Marmut Accent","FALSE"
"1344.dat","speaker","0","","ルカ","","Ruca","FALSE"
"1344.dat","speaker","1","","リカルド","","Ricardo","FALSE"
"1344.dat","speaker","2","","エルマーナ","","Hermana","FALSE"
"1344.dat","line","0","0 [ルカ]","そういえば　この町の人の訛りって
エルに似てるね","0 [Ruca]","You know, everyone’s accent here 
is quite similar to Hermie’s.","TRUE"
"1344.dat","line","3","1 [リカルド]","ああ　案外エルマーナの親は
ここの出身だったのかもしれんな","1 [Ricardo]","It might be because Hermana’s parents are from here.","TRUE"
"1344.dat","line","7","0 [ルカ]","ちょっと　聞いてみようか
おーい　エルー！","0 [Ruca]","Should we ask her? Hey, Hermie!","TRUE"
"1344.dat","line","15","2 [エルマーナ]","なんでおます？","2 [Hermana]","Whazzamatta?","TRUE"
"1344.dat","line","20","0 [ルカ]","お…　おます？","0 [Ruca]","Wha-- za... what?","TRUE"
"1344.dat","line","23","0 [ルカ]","えーっと…　エルの言葉って
この町の人の訛りに似てるんだけど
ご両親って　この町の人だったの？","0 [Ruca]","Anyways, your accent is quite similar 
to how the people in this area speak.
Are your parents from here?","TRUE"
"1344.dat","line","28","2 [エルマーナ]","へぇへぇ　ウチの両親は
行商人しておりましたんや","2 [Hermana]","Me parents were peddlers, aye?","TRUE"
"1344.dat","line","31","2 [エルマーナ]","せやから
いろんなところへ　旅しておったと
聞いておりまんねん","2 [Hermana]","That’s prolly why they picked up 
lotsa stuff on their travels.","TRUE"
"1344.dat","line","34","0 [ルカ]","えーっと　ご両親は
いつ頃　亡くなったの？","0 [Ruca]","Then... How old were you when you lost them?","TRUE"
"1344.dat","line","38","2 [エルマーナ]","１年前ですかいなぁ
王都へ向かう途中　敗残兵崩れの
野盗に会うてしもて…","2 [Hermana]","T’was one year ago when me parents ran inta 
former soldiers turned bandits while on tharrr
way ta Regnum...","TRUE"
"1344.dat","line","42","0 [ルカ]","そうだったんだ…
でも　行商人だったのなら
この町の出身でも　おかしくないね","0 [Ruca]","Ohh... but if they were peddlers, it 
wouldn’t be strange if they were 
from this town.","TRUE"
"1344.dat","line","48","2 [エルマーナ]","おとんにも　おかんにも出身なんて
聞いたこと　おまへんねんけど
案外　そうかもしらんねぇ","2 [Hermana]","Aye nevarrr knew about where
me Ma and Pa were born.
So that mighta been the case.","TRUE"
"1344.dat","line","51","1 [リカルド]","…いつもの訛りとは　少し違うな？
ということは　生粋のマムート人では
ないのかもしれんぞ","1 [Ricardo]","Your usual accent’s a bit different, isn’t it? 
So you might not be from Marmut.","TRUE"
"1344.dat","line","56","2 [エルマーナ]","そうですねん
せやけど　言葉が似てるせいで
完全に　うつってしもうたんでがす","2 [Hermana]","Yer right, but it’s kinda depressin’
since they’re both kinda similar.","TRUE"
"1344.dat","choice","59","0","方言を褒める","","Praise her dialect","FALSE"
"1344.dat","choice","59","1","違和感を覚える","","There’s something off","FALSE"
"1344.dat","line","63","0 [ルカ]","でも　その言葉遣いも
かわいいね","0 [Ruca]","But your manner of speaking is also pretty cute.","TRUE"
"1344.dat","line","69","2 [エルマーナ]","ほんまでっか？
やっぱ　ルカ兄ちゃんは
優しい人で　おますなぁ","2 [Hermana]","Really? Ruca Bro ya sure are kind!","TRUE"
"1344.dat","line","77","0 [ルカ]","不思議だね　しっくり来ないや","0 [Ruca]","How strange... The way you speak feels a bit off.","TRUE"
"1344.dat","line","82","2 [エルマーナ]","ウチも　そない思うとんのでごわす
せやけど　自分でも
どないもならんとーよ","2 [Hermana]","That’s what Aye think too,
but Aye can’t help meself.","TRUE"
"1344.dat","line","88","0 [ルカ]","…ところどころ　全然違う
言葉が混ざってない？","0 [Ruca]","Aren’t you blending in some
other words into your dialogue?","TRUE"
"1344.dat","line","97","0 [ルカ]","言葉が違うだけで
まるで　別人みたいだね","0 [Ruca]","The way you speak is different, but it’s 
almost as if you’re a different person.","TRUE"
"1344.dat","line","100","1 [リカルド]","そうでんなぁ","1 [Ricardo]","Righto, ain’t it?","TRUE"
"1344.dat","line","105","0 [ルカ]","ちょっとちょっと　リカルドも言葉
うつってるよ…","0 [Ruca]","Hold on, Ricardo, your accent’s slipping a bit.","TRUE"
"1344.dat","line","111","1 [リカルド]","ああ　ホンマや…
カンニンどすえ","1 [Ricardo]","Ahhh you’re right, sorry...","TRUE"
"1345.dat","title","338","","エル、疲れてるの？","","Are you Tired, Hermie?","FALSE"
"1345.dat","speaker","0","","ルカ","","Ruca","FALSE"
"1345.dat","speaker","1","","エルマーナ","","Hermana","FALSE"
"1345.dat","line","1","1 [エルマーナ]","ふぅ…","1 [Hermana]","*Sigh*","TRUE"
"1345.dat","line","6","0 [ルカ]","ねえ　エル
体調悪そうだけど
どこか悪いの？","0 [Ruca]","You don’t look so well.
Hermie, what’s wrong?","TRUE"
